0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:05 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:05 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:09 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:11 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:12 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:13 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:15 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:16 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:17 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:18 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:19 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:21 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:46 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:47 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:17:03 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:17:15 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:17:29 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:33 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:35 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:37 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:38 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:39 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:22:41 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
